图书编号,图书名称,作者,出版社,图书类型,数量,价格
A00001,《道德经》,老子,中华书局,文学,1,18
A00002,《颜氏家训》,颜之推,中华书局,文学,1,18.36
A00003,《一千零一页》,董宏猷,吉林文史出版社,文学,1,9.31
A00004,《格林童话》,格林兄弟,上海文化出版社,文学,1,14
A00005,《安徒生童话》,安徒生,商务印书馆,文学,1,7.42
A00006,《佛教的见地与修道》,宗萨钦哲仁波切,新星出版社,文学,1,16
A00007,《礼记》,戴圣,人民交通出版社,文学,1,76
A00008,《尚书》,先秦诸子,东南大学出版社,文学,1,19.9
A00009,《基督山伯爵》,大仲马,现代出版社,文学,1,13.5
A00010,《巴黎圣母院》,维克多·雨果,中国宇航出版社,文学,1,300
A00011,《汤姆叔叔的小屋》,比彻·斯托,人民文学出版社,文学,1,"14,7"
A00012,《昆虫记》,卡西米尔·法布尔,花城出版社,文学,1,58
A00013,《苏菲的世界》,乔斯坦·贾德,作家出版社,文学,1,38
A00014,《新教伦理与资本主义精神》,马克斯·韦伯,北京大学出版社,文学,1,21.84
A00015,《静静的顿河》,肖洛霍夫,人民文学出版社,文学,1,158
A00016,《艺术与现实的审美关系》, 车尔尼雪夫斯基 ,人民文学出版社,文学,1,31.4
A00017,《复活》,列夫·托尔斯泰,中国友谊出版公司,文学,1,57.8
A00018,《古代社会》,晏昌贵 ,武汉大学出版社,文学,1,101.8
A00019,《茶花女》,小仲马,中国友谊出版公司,文学,1,40.8
A00020,《小王子》,圣埃克苏佩里 ,中国友谊出版公司,文学,1,19.9
A00021,《冰心散文选集》,冰心,安徽文艺出版社,文学,1,26.9
A00022,《阿Q正传》,鲁迅,中国友谊出版公司,文学,1,40.5
A00023,《少年维特之烦恼》,西尔维娅·普拉斯,江西人民出版社,文学,1,18.91
A00024,《追忆似水年华》,普鲁斯特 ,上海译文出版社,文学,1,26.6
A00025,《梦的解析》,弗洛伊德,中国友谊出版公司,文学,1,66.3
A00026,《法学阶梯》,优士丁尼,商务印书馆,文学,1,233
A00027,《史记》,司马迁,光明日报出版社,文学,1,105
A00028,《抱朴子》,张松辉, 中华书局,文学,1,79
A00029,《钢铁是怎么炼成的》,奥斯特洛夫斯基,江苏凤凰文艺出版社,文学,1,21.5
A00030,《罗密欧与朱丽叶》,莎士比亚,中国宇航出版社,文学,1,32.8
A00031,《论语》,孔子,中国文联出版社,文学,1,22.8
A00032,《管理学》,陈传明,高等教育出版社,文学,1,39.8
A00033,《资治通鉴》,司马光,光明日报出版社,文学,1,70
A00034,《新工具》,培根 ,商务印书馆,文学,1,33.9
A00035,《本草纲目》,李时珍,昌盛图书专营店,文学,1,98
A00036,《人性的弱点》,卡耐,九州出版社,文学,1,39.8
A00037,《尤利西斯》,乔伊斯,云南人民出版社,文学,1,49
A00038,《伦理学》,斯宾诺莎,商务印书馆,文学,1,37.4
A00039,《理想国》,德斯蒙德·图图,广西师范大学出版社,文学,1,55.4
A00040,《悲惨世界》,维克多·雨果,江苏凤凰文艺出版社,文学,1,69.5
A00041,《实用主义》,威廉·詹姆士,商务印书馆,文学,1,23.3
A00042,《社会契约论》,卢梭,商务印书馆,文学,1,23.7
A00043,《安娜卡列尼娜》,列夫·托尔斯泰,中国友谊出版公司,文学,1,108.8
A00044,《资本论》,马克思,耕读文化图书专营店,文学,1,69.8
A00045,《穆斯林的葬礼》,霍达, 北京出版集团公司,文学,1,49.3
A00046,《活着》,余华,北京十月文艺出版社,文学,1,31
A00047,《经济学原理》,格里高利·曼昆,北京大学出版社,文学,1,80.6
A00048,《飘》,玛格丽特·米切尔 , 中央编译出版社,文学,1,28.9
A00049,《金刚经释义》,王孺童,中华书局,文学,1,31.62
A00050,《毛泽东诗词全集》,石磊, 书山图书专营店,文学,1,25
A00051,《徐霞客游记》,刘兴诗,青岛出版社,文学,1,104.4
A00052,《神曲》,古斯塔夫·多雷,江苏凤凰文艺出版社,文学,1,49
A00053,《六祖法宝坛经》,徐文明,中州古籍出版社,文学,1,23.6
A00054,《庄子》,郭庆藩,中华书局,文学,1,98
A00055,《吉檀迦利》,泰戈尔,云南人民出版社,文学,1,65
A00056,《荷马史诗》,荷马,人民文学出版社,文学,1,37
A00057,《三十六计》,李金龙 ,辽海出版社,文学,1,115
A00058,《简爱》,夏洛蒂·勃朗特 ,人民文学出版社,文学,1,45
A00059,《聊斋志异》,于天池 ,中华书局,文学,1,179.2
A00060,《马可波罗游记》,马可波罗,商务印书馆,文学,1,46.6
A00061,《梦溪笔谈》,诸雨辰,中华书局,文学,1,42.1
A00062,《围城》,钱钟书,人民文学出版社,文学,1,29
A00063,《中庸》,赵征 ,线装书局,文学,1,78
A00064,《贞观政要》,儒爵爷,中国文史出版社,文学,1,16
A00065,《窦娥冤》,关汉卿, 人民文学出版社,文学,1,22
A00066,《红与黑》,司汤达, 人民文学出版社,文学,1,36
A00067,《麦田里的守望者》,塞林格 ,译林出版社,文学,1,39
A00068,《老人与海》,欧内斯特·海明威 ,中国友谊出版公司,文学,1,23.3
A00069,《红楼梦》,曹雪芹,人民文学出版社,文学,1,37
A00070,《西游记》,吴承恩,人民文学出版社,文学,1,23.9
A00071,《三国演义》,罗贯中 ,人民文学出版社,文学,1,83
A00072,《水浒传》,施耐庵,人民文学出版社,文学,1,39.9
A00073,《战争论》,卡尔·冯·克劳塞维茨,民主与建设出版社,文学,1,66.91
A00074,《悲剧的诞生》,弗里德里希·尼采,商务印书馆,文学,1,27.8
A00075,《物种起源》,达尔文 ,北京时代华文书局,文学,1,28.6
A00076,《论法的精神》,孟德斯鸠,译林出版社,文学,1,57.4
A00077,《君主论》,马基雅维利 ,上海文化出版社,文学,1,39.8
A00078,《人口原理》,马尔萨斯,商务印书馆,文学,1,27.2
A00079,《堂吉诃德》,塞万提斯,人民文学出版社,文学,1,34
A00080,《源氏物语》,紫式部,人民文学出版社,文学,1,75
A00081,《政治学》,亚里士多德,商务印书馆,文学,1,50.9
A00082,《鲁滨逊漂流记》, 丹尼尔·笛福,中国友谊出版公司,文学,1,25.8
A00083,《国富论》,亚当·斯密,中国华侨出版社,文学,1,88.5
A00084,《几何原本》,欧几里得,陕西科学技术出版社,文学,1,59.2
A00085,《水经注》, 郦道元,中华书局出版,文学,1,238
A00086,《大学》,曾参,江苏凤凰科学技术出版社,文学,1,26
A00087,《老子》,汤漳平,中华书局,文学,1,70.4
A00088,《左传》,左丘明,民主与建设出版社,文学,1,132.5
A00089,《孟子》,孟子,中国文联出版社,文学,1,22.8
A00090,《韩非子》,韩非, 西苑出版社,文学,1,57.2
A00091,《正义论》,约翰·罗尔斯, 中国社会科学出版社,文学,1,46.3
A00092,《孙子兵法》,孙武,中国长安出版社,文学,1,49.8
A00093,《曾国藩家书》,曾国藩,中华书局,文学,1,121.6
A00094,《文明的冲突与世界秩序的重建》,塞缪尔亨廷顿 ,新华出版社,文学,1,34.6
A00095,《周易》,任宪宝 ,吉林文史出版社,文学,1,22.8
A00096,《美的历程》,李泽厚,人民文学出版社,文学,1,55
A00097,《百年孤独》,加西亚·马尔克斯, 南海出版公司,文学,1,39.6
A00098,《菜根谭》,洪应明,中国友谊出版公司,文学,1,105
A00099,《诗经》,弘丰,北京燕山出版社,文学,1,50
A00100,《毛泽东传》,迪克·威尔逊, 国际文化出版公司,文学,1,100
B00101,艺术的故事,贡布里希,广西美术出版社,艺术,1,60
B00102,美的历程,李泽厚,人民文学出版社,艺术,2,56
B00103,中国哲学简史,冯友兰,新知三联书店,艺术,2,49
B00104,西方美学史,朱光潜 ,人民文学出版社,艺术,2,53
B00105, 艺术发展史 ,贡布里希,天津人民美术出版社,艺术,2,57
B00106,艺术的故事,房龙,陕西人民出版社,艺术,2,49
B00107, 艺术通史,史蒂芬.法辛,中央编译出版社,艺术,3,45
B00108,文艺复兴,贡布里希,中国美术学院出版社,艺术,3,52
B00109,剑桥艺术史,苏珊·伍德福德,译林出版社,艺术,4,52
B00110, 加德纳艺术通史,范景中, 美术出版社,艺术,1,54
B00111,艺术发展史 ,范文澜 , 天津人民美术出版社,艺术,2,69
B00112,中国通史,周谷城,人民出版社,艺术,3,54
B00113,中国通史（上下）,周谷城,上海人民出版社,艺术,4,55
B00114,中国史纲,王天禾,高等教育出版社,艺术,5,69
B00115, 国史大纲,贡布里希,广东教育出版社,艺术,6,48
B00116,全球通史,尚游, 美术出版社,艺术,7,35
B00117,艺术读,岑淇编著, 美术出版社,艺术,8,45
B00118,歌德谈话录 ,李云川,星球地图出版社,艺术,9,69
B00119,艺术,贡布里希,长江文艺出版社,艺术,10,69
B00120,企鹅艺术,岑淇编著, 美术出版社,艺术,11,50
B00121,阿达艺术,李云川,长江文艺出版社,艺术,12,35
B00122,胆大妄为,贡布里希,中央编译出版社,艺术,13,57
B00123,微软艺术,岑淇编著,星球地图出版社,艺术,14,66
B00124,祖国艺术,王天禾,重庆大学出版社,艺术,15,34
B00125,三打五确定艺术,岑淇编著,中国人口出版社,艺术,16,37
B00126,阿迪斯,尚游, 美术出版社,艺术,17,42
B00127,犹太人,王天禾,星球地图出版社,艺术,18,36
B00128,魏汝稳艺术,李云川,重庆大学出版社,艺术,19,47
B00129,维州艺术,岑淇编著,长江文艺出版社,艺术,20,41
B00130,五欸额,贡布里希,中央编译出版社,艺术,21,66
B00131,啮齿艺术,夏柏森,星球地图出版社,艺术,22,63
B00132,当时的艺术,尚游,长江文艺出版社,艺术,23,63
B00133,飒飒艺术,岑淇编著,重庆大学出版社,艺术,24,64
B00134,修饰符成都,贡布里希,长江文艺出版社,艺术,25,46
B00135,思维定势,岑淇编著,中央编译出版社,艺术,26,46
B00136,顺德艺术,王天禾,接力出版社,艺术,27,45
B00137,巍峨艺术,尚游,上海文艺出版社,艺术,28,53
B00138,倒萨艺术,贡布里希,中央编译出版社,艺术,29,38
B00139,很乖回复,浙江丽泽,长江文艺出版社,艺术,30,50
B00140,和法国光放,李云川,接力出版社,艺术,31,33
B00141,伦理学方法艺术,贡布里希,中央编译出版社,艺术,32,42
B00142,认识的谬误艺术,夏柏森,接力出版社,艺术,33,51
B00143,感觉分析,王天禾,上海文艺出版社,艺术,34,47
B00144,经济与自然艺术,夏柏森,重庆大学出版社,艺术,35,60
B00145,科学与近代世界艺术,夏柏森,中央编译出版社,艺术,36,41
B00146,论实证主义艺术,浙江丽泽,长江文艺出版社,艺术,37,30
B00147,哲学问题艺术,贡布里希,接力出版社,艺术,38,39
B00148,心的概念艺术,夏柏森,接力出版社,艺术,39,38
B00149,真理与意义艺术,李云川,重庆大学出版社,艺术,40,39
B00150,爱欲与文明艺术,浙江丽泽,上海文艺出版社,艺术,41,60
B00151,单向度的人艺术,王天禾,长江文艺出版社,艺术,42,40
B00152,在自由中丧失艺术,夏柏森,中央编译出版社,艺术,43,58
B00153,通往奴役之路艺术,尚游,长江文艺出版社,艺术,44,60
B00154,自由宪章艺术,浙江丽泽,接力出版社,艺术,45,58
B00155,知识分子的鸦片艺术,王天禾,上海文艺出版社,艺术,46,65
B00156,正义论艺术,浙江丽泽,接力出版社,艺术,47,44
B00157,符号学原理艺术,李云川,长江文艺出版社,艺术,48,37
B00158,写作的零度艺术,浙江丽泽,中央编译出版社,艺术,49,55
B00159,启蒙辩证法艺术,贡布里希,星球地图出版社,艺术,50,40
B00160,历史与阶级意识艺术,徐林义,星球地图出版社,艺术,51,64
B00161,科学的反革命艺术,王天禾,重庆大学出版社,艺术,52,57
B00162,后现代状态艺术,徐林义,上海文艺出版社,艺术,53,50
B00163,共同体与社会艺术,沧海堂,长江文艺出版社,艺术,54,49
B00164,现代性与大屠杀艺术,王天禾,中央编译出版社,艺术,55,66
B00165,精神分析引论艺术,浙江丽泽,长江文艺出版社,艺术,56,36
B00166,极权主义的起源艺术,徐林义,星球地图出版社,艺术,57,57
B00167,自由四论艺术,王天禾,重庆大学出版社,艺术,58,53
B00168,自由的背叛以上,尚游,上海文艺出版社,艺术,59,35
B00169,变化社会中的艺术·,浙江丽泽,星球地图出版社,艺术,60,59
B00170,艺术1,沧海堂,中央编译出版社,艺术,61,42
B00171,艺术2,王天禾,星球地图出版社,艺术,62,69
B00172,汉魏两晋南史,徐林义,星球地图出版社,艺术,63,56
B00173,胡塞尔哲学发生问题,李云川,重庆大学出版社,艺术,64,55
B00174,纯性批判,徐林义,上海文艺出版社,艺术,65,33
B00175,纯批判讲演录,尚游,星球地图出版社,艺术,66,50
B00176,牛顿究,徐林义,中央编译出版社,艺术,67,43
B00177,近的形而上学基础,沧海堂,星球地图出版社,艺术,68,62
B00178,世的机械化,王天禾,人民音乐出版社,艺术,69,51
B00179,哥集异璧之大成,浙江丽泽,译林出版社,艺术,70,46
B00180,人类识原理,徐林义,人民音乐出版社,艺术,71,42
B00181,知堂想录,尚游,译林出版社,艺术,72,38
B00182,学研究,徐林义,中央编译出版社,艺术,73,61
B00183,法哲理,沧海堂,上海文艺出版社,艺术,74,59
B00184,伦理德哲学研究,王天禾,译林出版社,艺术,75,34
B00185,阿多哲学研究,浙江丽泽,重庆大学出版社,艺术,76,68
B00186,解读,徐林义,译林出版社,艺术,77,33
B00187,魏德哲学研究,尚游,译林出版社,艺术,78,65
B00188,利坦,沧海堂,中央编译出版社,艺术,79,41
B00189,政府,徐林义,上海文艺出版社,艺术,80,44
B00190,社会论,王天禾,人民音乐出版社,艺术,81,33
B00191,论人等的起源,浙江丽泽,人民音乐出版社,艺术,82,44
B00192,实性批判,李云川,中央编译出版社,艺术,83,42
B00193,判判,尚游,上海文艺出版社,艺术,84,34
B00194,全部学原理,王天禾,上海文艺出版社,艺术,85,69
B00195,全部学的基础,沧海堂,重庆大学出版社,艺术,86,45
B00196,作为世录与补遗,尚游,重庆大学出版社,艺术,87,47
B00197,艺术武器,沧海堂,人民音乐出版社,艺术,88,52
B00198,托运人艺术,尚游,中央编译出版社,艺术,89,49
B00199,浮士德,沧海堂,人民音乐出版社,艺术,90,57
B00200,大佛寺艺术,王天禾,重庆大学出版社,艺术,91,38
C00201,世间所有相遇都是久别重逢,白落梅,华文出版社,小说,1,17.4
C00202,三十而立,芮成钢,山东航空航天大学出版社,小说,2,20.4
C00203,巨流河,齐邦媛,生活读书新知三联书店,小说,3,21.2
C00204,不负如来不负卿,小春,浙江文艺出版社,小说,4,19
C00205,云图,大卫.米切尔,上海文艺出版社,小说,2,22
C00206,找回被遗忘的自己,马武宝,时报文化出版企业股份,小说,2,71.2
C00207,春宴,安妮宝贝,湖南文艺出版社,小说,2,23.8
C00208,穿越金色时光,胡天生，刘泽文,海洋出版社,小说,2,19.4
C00209,活在当下最美：把握当下过幸福人生,任悦,哈尔滨出版社,小说,2,15.5
C00210,第56号教室的奇迹,雪夫.艾斯奎斯,中国城市出版社,小说,2,19.6
C00211,盔甲骑士,艾读,海峡文艺出版社,小说,2,14.4
C00212,背包十年,小鹏,中信出版社,小说,2,18
C00213,因为痛，所以叫青春,金兰都,广西科学技术出版社,小说,2,19.6
C00214,远离德黑兰,门德兹和贝格里欧,中国友谊出版公司,小说,2,20
C00215,最好的杂文大全选,张保林,外文出版社,小说,2,20.9
C00216,天才在左，疯子在右,高铭,武汉大学出版社,小说,2,19.4
C00217,他的国,韩寒,万卷出版公司,小说,2,18
C00218,做你想做的人,艾伦,中信出版社,小说,2,18.6
C00219,推开幸福那扇门,徐君,东方出版社,小说,2,18.2
C00220,宽怀人生,延参法师,商务印书馆国际有限公司,小说,1,20.3
C00221,邮差弗雷德,马克.布桑,中信出版社,小说,1,16.6
C00222,成长比成功更重要,凌志军,陕西师范大学出版社,小说,1,16.3
C00223,尘埃眠于光年,夏茗悠,新世界出版社,小说,1,17
C00224,花开半季，情暖三生,百落梅,北京联合出版公司,小说,1,16.6
C00225,十年一品温如言,书海苍生,江苏文艺出版社,小说,1,40.1
C00226,小狗钱钱,博多.舍费尔,南海出版公司,小说,1,35.1
C00227,阳光心态,吴维库,机械工业出版社,小说,1,17.3
C00228,巨能量,查理德.怀斯罗,湖南文艺出版社,小说,1,18.5
C00229,当时只道是寻常,安意如,人民文学出版社,小说,1,19.6
C00230,再见萤火虫,念珠杩,北京出版社,小说,1,15.3
C00231,眠空,安妮宝贝,北京十月文艺出版社,小说,1,29.6
C00232,踮脚张望的时光,祁定江,人民文艺出版社,小说,1,22
C00233,毕业了我们一无所有,一草,湖南文艺出版社,小说,1,26.7
C00234,最美的徒劳无功,九把刀,朝阳文艺出版社,小说,1,35
C00235,把耳朵捂住,疏星,长江文艺出版社,小说,1,22.8
C00236,我的中东,吴苏娟,江苏文艺出版社,小说,1,23.1
C00237,购并的艺术,陈见明,中国人民大学出版社,小说,1,24.7
C00238,安静：内向性格的竞争力,苏珊.凯恩,中信出版社,小说,1,45.7
C00239,生命之书：365天的静心冥想,克里希那穆提,泽林出版社,小说,1,61.2
C00240,我的名字叫红,奥尔汗.帕慕克,上海人民出版社,小说,1,32.1
C00241,人生不汲限,尼克.胡哲,天津社会科学院出版社,小说,1,33.2
C00242,别闹了，费曼先生,理查德.费曼,天下远见出版服务有限公司,小说,1,89
C00243,夏至未至,郭敬明,长江文艺出版社,小说,1,20.1
C00244,个人发展手册,斯特拉.科特雷尔,北京大学出版社,小说,1,60.7
C00245,你简单，世界就对你简单,百晓生,中信出版社,小说,1,20.3
C00246,青铜葵花,曹文轩,江苏少年儿童出版社,小说,1,12
C00247,风云初记,孙犁,作家出版社,小说,1,45.3
C00248,铁道游击队,刘志侠,接力出版社,小说,1,65.4
C00249,保卫延安,杜鹏程,中国轻工业出版社,小说,1,34
C00250,三里湾,赵树理,吉林科技出版社,小说,3,37
C00251,红日, 吴强,青岛出版社,小说,3,34.7
C00252,红旗谱,梁斌,中国人民大学出版社,小说,3,56.8
C00253,山乡巨变, 周立波,中信出版社,小说,3,45.7
C00254,我们播种爱情,徐怀中,广西科学技术出版社,小说,3,56.8
C00255,林海雪原, 曲波,中国友谊出版公司,小说,3,43
C00256,青春之歌,杨沫,外文出版社,小说,3,24.5
C00257,苦菜花,冯德英,武汉大学出版社,小说,3,29.6
C00258,野火春风斗古城,李英儒,万卷出版公司,小说,3,22
C00259,上海的早晨,周而复,中信出版社,小说,3,56.8
C00260,三家巷,欧阳山,北京联合出版公司,小说,3,35
C00261,创业史,柳青,江苏文艺出版社,小说,3,22.8
C00262,红岩,罗广斌 杨益言,南海出版公司,小说,3,23.1
C00263,艳阳天, 浩然,机械工业出版社,小说,3,24.7
C00264,大刀记,郭澄清,湖南文艺出版社,小说,3,23.3
C00265,万山红遍, 黎汝清,人民文学出版社,小说,3,25.4
C00266,东方, 魏巍,北京出版社,小说,3,27.1
C00267,青春万岁,王蒙,北京十月文艺出版社,小说,3,20.5
C00268,许茂和他的女儿们, 周克芹,人民文艺出版社,小说,3,89
C00269,冬天里的春天,李国文,湖南文艺出版社,小说,3,20.1
C00270,沉重的翅膀,张洁,朝阳文艺出版社,小说,3,60.7
C00271,黄河东流去, 李凖,江苏文艺出版社,小说,3,20.3
C00272,蹉跎岁月,叶辛,中国人民大学出版社,小说,3,12
C00273,新星,柯云路,中信出版社,小说,3,45.3
C00274,钟鼓楼,刘心武,泽林出版社,小说,3,45.7
C00275,平凡的世界, 路遥,上海人民出版社,小说,3,56.8
C00276,第二个太阳,刘白羽,天津社会科学院出版社,小说,3,43
C00277,红高粱家族,莫言,天下远见出版服务有限公司,小说,3,24.5
C00278,雪城, 梁晓声,长江文艺出版社,小说,3,29.6
C00279,浴血罗霄,萧克,北京大学出版社,小说,3,22
C00280,穆斯林的葬礼, 霍达,中信出版社,小说,3,56.8
C00281,白鹿原, 陈忠实,江苏少年儿童出版社,小说,3,35
C00282,长恨歌, 王安忆,湖南文艺出版社,小说,3,22.8
C00283,马桥词典,韩少功,人民文学出版社,小说,3,23.1
C00284,抉择, 张平,北京出版社,小说,3,26.7
C00285,草房子,曹文轩,北京十月文艺出版社,小说,3,35
C00286,中国制造,周梅森,人民文艺出版社,小说,3,22.8
C00287,尘埃落定, 阿来,湖南文艺出版社,小说,3,23.1
C00288,突出重围,柳建伟,朝阳文艺出版社,小说,3,24.7
C00289,李自成, 姚雪垠,长江文艺出版社,小说,3,45.7
C00290,历史的天空,徐贵祥,江苏文艺出版社,小说,3,61.2
C00291,亮剑, 都梁,中国人民大学出版社,小说,3,32.1
C00292,东藏记, 王旭烽,中信出版社,小说,3,33.2
C00293,茶人三部曲,宗璞,泽林出版社,小说,3,89
C00294,雍正皇帝, 二月河,上海人民出版社,小说,3,20.1
C00295,日出东方, 黄亚洲,天津社会科学院出版社,小说,3,60.7
C00296,狼图腾, 陆天明,天下远见出版服务有限公司,小说,3,24.7
C00297,省委书记, 范稳,长江文艺出版社,小说,3,45.7
C00298,水乳大地,姜戎,北京大学出版社,小说,1,61.2
C00299,我的丁一之旅,史铁生,长江文艺出版社,小说,1,32.1
C00300,我是我的神,邓一光,北京大学出版社,小说,1,33.2
D00301,因为有梦 所以远方,伊文思,晴天出版社,青春,1,42
D00302,《世界上最伟大的励志书》,张乐,人民教育出版社,青春,1,30
D00303,天使的舞鞋,胡伟,高等教育出版社,青春,1,45
D00304,《谁动了我的奶酪》,王加浩,外语教学与研究出版社,青春,1,46
D00305,《成功之路》,雯,江苏教育出版社,青春,1,39
D00306,《人性的弱点》,李可,广西师范大学出版社,青春,1,49
D00307,《钢铁是怎样练成的》,张翰,人民邮电出版社,青春,1,37
D00308,《羊皮卷》,西子情,高等教育出版社,青春,1,39
D00309,《海伦凯勒传记》,哈伦,高等教育出版社,青春,1,35
D00310,《相约星期二》,哈利,高等教育出版社,青春,1,46
D00311,《那些不值钱的经验》,李杨摸,高等教育出版社,青春,1,43
D00312,《双鱼记》,四黄蛋,中华书局,青春,1,50
D00313,《最熟悉的陌生人》,陌生人,高等教育出版社,青春,1,39
D00314,《左半边翅膀》,束戈卷,易文网（上海世纪出版集团,青春,1,46
D00315,《蛰伏》,可云,人民邮电出版社,青春,1,50
D00316,《校服的裙摆》,苏果党,科学出版社,青春,1,36
D00317,《来不及学坏》,明月,易文网（上海世纪出版集团,青春,1,34
D00318,《明朝那些事儿》,当年明月,中华书局,青春,1,40
D00319,《鬼吹灯》,天下霸唱,易文网（上海世纪出版集团,青春,1,47
D00320,《迷踪之国》,天下霸唱,科学出版社,青春,1,31
D00321,天下霸唱,何马,易文网（上海世纪出版集团,青春,1,34
D00322,《盗墓笔记》—,南派三叔,人民邮电出版社,青春,1,45
D00323,《吸引力法则》,迈克尔·劳塞尔,人民邮电出版社,青春,1,41
D00324,《钥匙》,乔•瓦伊塔尔,上海译文出版社,青春,1,44
D00325,《影响力密码》,奈杰尔·里斯纳尔,上海译文出版社,青春,1,35
D00326,《坚定的乐观主义》,普瑞斯·普里,上海译文出版社,青春,1,49
D00327,《活法1、2、3》,稻盛和夫,易文网（上海世纪出版集团,青春,1,39
D00328,《如果那时我知道……》,查尔斯·格罗丁,中华书局,青春,1,44
D00329,《萝莉控 大叔》,咖啡加糖,上海译文出版社,青春,1,44
D00330,《那时偷偷恋他》,锭党,科学出版社,青春,1,45
D00331,《你看起来有点帅》,锦夏牟,上海译文出版社,青春,1,46
D00332,《致我们失去的青春》,套头衫,上海译文出版社,青春,1,46
D00333,《何为冬暖》,夏,中国政法大学出版社,青春,1,35
D00334,《何为夏凉》,阿萨德,上海译文出版社,青春,1,36
D00335,《忽而锦夏》,明前雨后,中华书局,青春,1,30
D00336,《邻家青梅竹马》,句小如,中国政法大学出版社,青春,1,49
D00337,《最好的我们》,八月长安,人民邮电出版社,青春,1,38
D00338,《青春制暖》,西子情,中国政法大学出版社,青春,1,47
D00339,《那回不去的年少时光》,彤画,中国金融出版社 ,青春,1,37
D00340,《我寄养的哪些年》,完美的西红柿,中国政法大学出版社,青春,1,35
D00341,《君子一诺》,娇娇,上海译文出版社,青春,1,42
D00342,《暗恋》,淮南,中国金融出版社 ,青春,1,37
D00343,《偷偷藏不住》,段嘉许,上海译文出版社,青春,1,45
D00344,《难哄》,雯,中华书局,青春,1,38
D00345,《告白》,周京泽,高等教育出版社,青春,1,48
D00346,《偏偏宠爱》,江忍,高等教育出版社,青春,1,46
D00347,《响声》,劲生,高等教育出版社,青春,1,43
D00348,《黑莲花》,琳秒,科学出版社,青春,1,41
D00349,《小青换》陈让,,中国政法大学出版社,青春,1,32
D00350,《魔鬼的体温》,贝摇,人民邮电出版社,青春,1,46
D00351,《他和他的猫》,书加,　中央编译出版社,青春,1,38
D00352,《暗隔里的秘密》,丁降,　中央编译出版社,青春,1,49
D00353,《你听的见》,班生,中华书局,青春,1,35
D00354,《白日梦》,神剑,　中央编译出版社,青春,1,42
D00355,《你马甲掉了》,秦然,中国政法大学出版社,青春,1,40
D00356,《天下无贼》,ldce,高等教育出版社,青春,1,50
D00357,《夏有乔木，雅望天堂》,籽月,科学出版社,青春,1,31
D00358,《凉生，我们可不可以不忧伤》,乐小米,高等教育出版社,青春,1,49
D00359,《后来我们都哭了》,夏七夕,高等教育出版社,青春,1,41
D00360,《年效是无华信》,落落,高等教育出版社,青春,1,46
D00361,《尘埃星球》,落落,科学出版社,青春,1,43
D00362,《锦夜》,小狮,社科文献出版社 ,青春,1,40
D00363,《积木城池》,小狮,中国政法大学出版社,青春,1,44
D00364,《左耳》,饶雪漫,社科文献出版社,青春,1,47
D00365,《积木城池》,剋,中华书局,青春,1,43
D00366,《我和你的笑忘书》,艾奇,高等教育出版社,青春,1,34
D00367,《深海里的星星》,基恩士,社科文献出版社,青春,1,42
D00368,《素素》,基恩士,人民邮电出版社,青春,1,38
D00369,《玫瑰帝国》,基恩士,社科文献出版社,青春,1,44
D00370,《就像海洋原谅了鱼》,微酸袅袅,中国政法大学出版社,青春,1,31
D00371,《夏日歌》,微酸袅袅,科学出版社,青春,1,35
D00372,《咖啡少年不加糖》,沙湖,社科文献出版社,青春,1,32
D00373,《彩虹机》,涉地,科学出版社,青春,1,42
D00374,《烟火不暖，糖衣不甜》,寂静时代,社科文献出版社,青春,1,40
D00375,《如果萌，请深萌》,阿萨德,高等教育出版社,青春,1,46
D00376,《七步危情》,,社科文献出版社 ,青春,1,48
D00377,《我靠谱，你随意》,是撒旦,中华书局,青春,1,47
D00378,《你是我的独家记忆》,,中国政法大学出版社,青春,1,50
D00379,《后来我们都哭了》,,中国金融出版社 ,青春,1,49
D00380,《唱情歌的少年请别忧伤》,,上海译文出版社,青春,1,48
D00381,《逆夏》,夏,吉林大学出版社,青春,1,44
D00382,《我只是难过不能陪你一起老》,看见撒大海,吉林大学出版社,青春,1,44
D00383,《晨光搁浅》,石蛾, 中国致公出版社,青春,1,48
D00384,《微光迷失的尘夏》,赛女,高等教育出版社,青春,1,42
D00385,《如果下辈子我还记得你》,杰尔夫,吉林大学出版社,青春,1,43
D00386,《全世界为你唱这首小情歌》,奇马,上海译文出版社,青春,1,49
D00387,《蔷薇纪年静谧时》,爱与美,中国政法大学出版社,青春,1,36
D00388,《云朵上的歌》,,中华书局,青春,1,38
D00389,《蔷薇色尘埃》,木事, 中国致公出版社,青春,1,30
D00390,《天使消失在街角》,落落,机械工业出版社,青春,1,41
D00391,《青藤之凉》,落落,中国金融出版社 ,青春,1,48
D00392,《听说每一颗星球都会哭泣》,枯死,人民出版社,青春,1,43
D00393,《月光漫过珍珠夏》,落落,高等教育出版社,青春,1,47
D00394,《原来你还在这里》,雨, 中国致公出版社,青春,1,34
D00395,《致我们终将逝去的青春》,可心,中华书局,青春,1,50
D00396,《山月不知心底事》,罗刹鬼,机械工业出版社,青春,1,44
D00397,《晨昏》,陈云, 中国致公出版社,青春,1,47
D00398,《许我向你看》,张静安,科学出版社,青春,1,36
D00399,《水仙已乘鲤鱼去》,张静安,中国政法大学出版社,青春,1,32
D00400,《凉生，我们可不可以不忧伤》,张静安,机械工业出版社,青春,1,46
